type,phylum,hex.color,order
env_data,env_var,#f57d7a,0
unclassified,__,#000000,1
unclassified,Ambiguous_taxa,#1F1F1F,2
unclassified,Bacteria,#1F1F1F,3
unclassified,Other,#1F1F1F,4
unclassified,Unassigned,#1F1F1F,5
unclassified,uncultured_bacteria,#000000,6
unclassified,Opalinata,#000000,7
archaea,Euryarchaeota,#560B8E,8
archaea,Crenarchaeota,#790Fc8,9
archaea,Korarchaeota,#F0A5E6,10
archaea,Thaumarchaeota,#680Dab,11
archaea,Methanomicrobia,#A569Bd,12
archaea,Methanobacteria,#7D3C98,13
archaea,Halobacteria,#8A11E4,14
uncult archaea,Aenigmarchaeota,#9F8Aab,15
uncult archaea,Altiarchaeota,#e2dae8,16
uncult archaea,Asgardaeota,#E5Ccf7,17
uncult archaea,Asgardarchaeota,#E5Ccf7,18
uncult archaea,Diapherotrites,#B977E9,19
uncult archaea,Hadesarchaeaeota,#Decbff,20
uncult archaea,Hydrothermarchaeota,#Baa2E6,21
uncult archaea,Halobacterota,#0C4D9C,22
uncult archaea,Hadarchaeota,#Decbff,23
uncult archaea,Iainarchaeota,#C7A9C3,24
uncult archaea,Micrarchaeota,#C288Ec,25
uncult archaea,Nanoarchaeaeota,#D3Aaf1,26
uncult archaea,Nanoarchaeota,#D3Aaf1,27
uncult archaea,Nanohaloarchaeota,#8A0Ac9,28
uncult archaea,Woesearchaeota,#272051,29
uncult archaea,Archaea,#A200Ff,30
uncult archaea,uncultured_archaea,#000000,31
proteo,Alphaproteobacteria,#787878,32
proteo,Betaproteobacteria,#585858,33
proteo,Proteobacteria,#808080,34
proteo,Deltaproteobacteria,#989898,35
proteo,Desulfobacterota,#989898,36
proteo,Gammaproteobacteria,#C8C8C8,37
proteo,Epsilonbacteraeota,#D3D3D3,38
proteo,Zetaproteobacteria,#b5b5b5,39
bacteria,Acidobacteria,#347aeb,40
bacteria,Acidobacteriota,#347aeb,41
bacteria,Actinobacteria,#005Cff,42
bacteria,Actinobacteriota,#005Cff,43
bacteria,Anaerolineales,#00B9E0,44
bacteria,Aquificota,#1C58Ed,45
bacteria,Armatimonadetes,#79D9F2,46
bacteria,Armatimonadota,#79D9F2,47
bacteria,Bacteroidetes,#0084Ff,48
bacteria,Bacteroidota,#0084Ff,49
bacteria,Bdellovibrionota,#5199C2,50
bacteria,Brocadiae,#0015E5,51
bacteria,Caldiserica,#00B6E5,52
bacteria,Caldisericota,#00B6E5,53
bacteria,Calditrichaeota,#227799,54
bacteria,Calditrichota,#227799,55
bacteria,Calescibacterota,#3F7F42,56
bacteria,Campilobacterota,#3d76f2,57
bacteria,Chlamydiae,#00A1Ff,58
bacteria,Chlorobi,#B3E0Ff,59
bacteria,Chloroflexi,#00B9E0,60
bacteria,Chrysiogenetota,#72D4F7,61
bacteria,Clostridia,#7984F2,62
bacteria,Coprothermobacterota,#5C59Ff,63
bacteria,Cyanobacteria,#Ccd0Ff,64
bacteria,Cytophagia,#Bbccdd,65
bacteria,Deferribacteres,#118822,66
bacteria,Deferribacterota,#118822,67
bacteria,Deferrisomatota,#118822,68
bacteria,Deinococcota,#Aabbdd,69
bacteria,Deinococcus-Thermus,#Aabbdd,70
bacteria,Dictyoglomota,#899Acc,71
bacteria,Elusimicrobia,#0085A8,72
bacteria,Elusimicrobiota,#0085A8,73
bacteria,Entotheonellaeota,#C2D8Ad,74
bacteria,Fibrobacteres,#99A2Ff,75
bacteria,Fibrobacterota,#99A2Ff,76
bacteria,Firmicutes,#7984F2,77
bacteria,Fusobacteria,#3F457F,78
bacteria,Fusobacteriota,#3F457F,79
bacteria,Gemmatimonadetes,#005566,80
bacteria,Gemmatimonadota,#005566,81
bacteria,Halanaerobiaeota,#7984F2,82
bacteria,Ignavibacteria,#79F2E6,83
bacteria,Magnetococcia,#96bad6,84
bacteria,Myxococcota,#222299,85
bacteria,Nitrospirae,#112288,86
bacteria,Nitrospirota,#112288,87
bacteria,Parachlamydiales,#00A1Ff,88
bacteria,Phycisphaerae,#0015E5,89
bacteria,Planctomycetes,#0015E5,90
bacteria,Planctomycetota,#0015E5,91
bacteria,Spirochaetes,#111188,92
bacteria,Spirochaetota,#111188,93
bacteria,Synergistetes,#00665B,94
bacteria,Synergistota,#00665B,95
bacteria,Tenericutes,#000Fa8,96
