Silva_phylum,phylum_color,superphylum_color,phylum_order,ToL_order,superphylum,subdomain,culture_status
Dictyoglomota,#B93A26,#C43F27,1,2,unresolved Terrabacteria,Terrabacteria,cultured
Aerophobota,#361510,#C43F27,2,3,unresolved Terrabacteria,Terrabacteria,uncultured
Caldatribacteriota,#782617,#C43F27,3,4,unresolved Terrabacteria,Terrabacteria,cultured
Actinobacteriota,#EE3224,#C43F27,4,5,unresolved Terrabacteria,Terrabacteria,cultured
Firmicutes,#942618,#C43F27,5,7,unresolved Terrabacteria,Terrabacteria,cultured
Halanaerobiaeota,#ED8B7E,#C43F27,6,7,unresolved Terrabacteria,Terrabacteria,cultured
Abditibacteriota,#C43F27,#C43F27,7,8,unresolved Terrabacteria,Terrabacteria,cultured
Armatimonadota,#571F17,#C43F27,8,9,unresolved Terrabacteria,Terrabacteria,cultured
Margulisbacteria,#CE9C31,#E8B13A,9,10,CMS,Terrabacteria,uncultured
WOR-1,#916d1f,#E8B13A,10,10,CMS,Terrabacteria,uncultured
Cyanobacteria,#E8B139,#E8B13A,11,12,CMS,Terrabacteria,cultured
Chloroflexi,#E8713A,#E8713A,12,14,CCD,Terrabacteria,cultured
Patescibacteria,#8B2F22,#E8713A,13,17,CCD,Terrabacteria,co-culture?
Synergistota,#7A5326,#FAA951,14,19,DST,Terrabacteria,cultured
Thermotogota,#FBCD9B,#FAA951,15,20,DST,Terrabacteria,cultured
Acetothermia,#7B644C,#FAA951,16,21,DST,Terrabacteria,cultured
Deinococcota,#FAA951,#FAA951,17,23,DST,Terrabacteria,cultured
Coprothermobacterota,#7A461D,#FAA951,18,24,DST,Terrabacteria,cultured
Caldisericota,#FBB264,#FAA951,19,26,DST,Terrabacteria,cultured
Fusobacteriota,#C0A932,#E6C939,20,28,basal Gracilicutes,Gracilicutes,cultured
Spirochaetota,#80712D,#E6C939,21,29,basal Gracilicutes,Gracilicutes,cultured
Desantisbacteria,#E6C939,#E6C939,22,31,basal Gracilicutes,Gracilicutes,cultured
Elusimicrobiota,#FEEB8E,#E6C939,23,32,basal Gracilicutes,Gracilicutes,cultured
Poribacteria,#FDDE44,#E6C939,24,34,basal Gracilicutes,Gracilicutes,cultured
Sumerlaeota,#296733,#36B55A,25,35,PVC,Gracilicutes,uncultured
Planctomycetota,#8AC97C,#36B55A,26,36,PVC,Gracilicutes,uncultured
Hydrogenedentes,#1FAD4B,#36B55A,27,38,PVC,Gracilicutes,uncultured
Omnitrophota,#71C05A,#36B55A,28,39,PVC,Gracilicutes,uncultured
Verrucomicrobiota,#36B55A,#36B55A,29,40,PVC,Gracilicutes,uncultured
Campilobacterota,#51AD92,#46BFAE,30,46,PANNAM,Gracilicutes,cultured
Dependentiae,#46BC96,#46BFAE,31,47,PANNAM,Gracilicutes,co-culture?
Aquificota,#86a2ad,#46BFAE,32,48,PANNAM,Gracilicutes,cultured
Thermosulfidibacterota,#90B1BF,#46BFAE,33,48,PANNAM,Gracilicutes,cultured
Calescamantes,#3C7E73,#46BFAE,34,49,PANNAM,Gracilicutes,uncultured
Thermodesulfobiota,#1D3330,#46BFAE,35,50,PANNAM,Gracilicutes,cultured
Methylomirabilota,#46BFAE,#46BFAE,36,52,PANNAM,Gracilicutes,cultured
Acidobacteriota,#B7D6D8,#46BFAE,37,54,PANNAM,Gracilicutes,cultured
Chrysiogenetota,#56989C,#46BFAE,38,56,PANNAM,Gracilicutes,cultured
Deferribacterota,#508C8F,#46BFAE,39,57,PANNAM,Gracilicutes,cultured
Schekmanbacteria,#1b8274,#46BFAE,40,58,PANNAM,Gracilicutes,uncultured
Nitrospinota,#2C4D4F,#46BFAE,41,59,PANNAM,Gracilicutes,uncultured
Nitrospirota,#71CBCF,#46BFAE,42,60,PANNAM,Gracilicutes,uncultured
Alphaproteobacteria,#aeb1b8,#46BFAE,43,62,PANNAM,Gracilicutes,cultured
Betaproteobacteria,#81848a,#46BFAE,44,62,PANNAM,Gracilicutes,cultured
Gammaproteobacteria,#77787a,#46BFAE,45,62,PANNAM,Gracilicutes,cultured
Proteobacteria,#7F8185,#46BFAE,46,62,PANNAM,Gracilicutes,cultured
Zetaproteobacteria,#64676e,#46BFAE,47,62,PANNAM,Gracilicutes,cultured
Dadabacteria,#B1B3B8,#46BFAE,48,63,PANNAM,Gracilicutes,uncultured
Bdellovibrionota,#363738,#46BFAE,49,64,PANNAM,Gracilicutes,co-culture?
Deferrisomatota,#3b6e60,#46BFAE,50,65,PANNAM,Gracilicutes,co-culture?
Deltaproteobacteria,#BEC5D0,#46BFAE,51,65,PANNAM,Gracilicutes,co-culture?
Desulfobacterota,#8fb5ab,#46BFAE,52,65,PANNAM,Gracilicutes,co-culture?
Myxococcota,#26786c,#46BFAE,53,65,PANNAM,Gracilicutes,co-culture?
SAR324_clade(Marine_group_B),#81f0e0,#46BFAE,54,65,PANNAM,Gracilicutes,co-culture?
Firestonebacteria,#5098B5,#3B5BA9,55,66,FCB,Gracilicutes,uncultured
Hydrothermae,#C66FF6,#3B5BA9,56,70,FCB,Gracilicutes,uncultured
Cloacimonadota,#7B8BC5,#3B5BA9,57,71,FCB,Gracilicutes,uncultured
